2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 1ms              | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 3.0002ms         | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 0                | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 16.0009ms        | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 19.0011ms        | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 21.0012ms        | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 23.0014ms        | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 25.0015ms        | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 85.0049ms        | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 96.0055ms        | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /brandshow                               | 45.0025ms        | match      | /brandshow                               | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 3.0002ms         | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 7.0004ms         | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 47.0027ms        | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 34.0019ms        | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 7.0004ms         | notmatch   | 
2015/04/06 01:44:45 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 38.0022ms        | notmatch   | 
2015/04/06 01:44:46 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:44:46 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 8.0005ms         | notmatch   | 
2015/04/06 01:44:46 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 82.0047ms        | notmatch   | 
2015/04/06 01:44:46 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 83.0048ms        | notmatch   | 
2015/04/06 01:48:25 [router.go:845] [D] | GET        | /brandshow                               | 70.004ms         | match      | /brandshow                               | 
2015/04/06 01:48:25 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 63.0036ms        | notmatch   | 
2015/04/06 01:48:25 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 75.0043ms        | notmatch   | 
2015/04/06 01:48:25 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 44.0025ms        | notmatch   | 
2015/04/06 01:48:25 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 56.0032ms        | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 111.0063ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 144.0082ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 20.0012ms        | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 1ms              | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 1ms              | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 137.0079ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 183.0104ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 223.0128ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 269.0154ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 289.0165ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 293.0168ms       | notmatch   | 
2015/04/06 01:48:26 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 296.0169ms       | notmatch   | 
2015/04/06 01:51:46 [router.go:845] [D] | GET        | /brandshow                               | 93.0053ms        | match      | /brandshow                               | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 6.0003ms         | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 19.0011ms        | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 1ms              | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 52.003ms         | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 0                | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 124.0071ms       | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 0                | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 80.0045ms        | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 93.0053ms        | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 96.0055ms        | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 103.0059ms       | notmatch   | 
2015/04/06 01:51:47 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 110.0063ms       | notmatch   | 
2015/04/06 01:51:48 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 139.008ms        | notmatch   | 
2015/04/06 01:51:48 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 162.0092ms       | notmatch   | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /brandshow                               | 118.0067ms       | match      | /brandshow                               | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 37.0021ms        | notmatch   | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 77.0044ms        | notmatch   | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 14.0008ms        | notmatch   | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 130.0074ms       | notmatch   | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 30.0017ms        | notmatch   | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 268.0154ms       | notmatch   | 
2015/04/06 01:52:46 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 154.0088ms       | notmatch   | 
2015/04/06 01:52:47 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 139.008ms        | notmatch   | 
2015/04/06 01:52:47 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 139.008ms        | notmatch   | 
2015/04/06 01:52:47 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:52:47 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 55.0032ms        | notmatch   | 
2015/04/06 01:52:47 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 63.0037ms        | notmatch   | 
2015/04/06 01:52:47 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 78.0045ms        | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /brandshow                               | 12.0007ms        | match      | /brandshow                               | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 7.0004ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 9.0005ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 6.0003ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 0                | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 71.0041ms        | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 75.0043ms        | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 80.0046ms        | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 84.0048ms        | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 86.0049ms        | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 118.0067ms       | notmatch   | 
2015/04/06 01:56:08 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 83.0048ms        | notmatch   | 
2015/04/06 01:58:26 [router.go:845] [D] | GET        | /brandshow                               | 49.0028ms        | match      | /brandshow                               | 
2015/04/06 01:58:26 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 103.0059ms       | notmatch   | 
2015/04/06 01:58:26 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:58:27 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 10.0006ms        | notmatch   | 
2015/04/06 01:58:27 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 12.0007ms        | notmatch   | 
2015/04/06 01:58:27 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 16.0009ms        | notmatch   | 
2015/04/06 02:01:00 [router.go:845] [D] | GET        | /brandshow                               | 39.0023ms        | match      | /brandshow                               | 
2015/04/06 02:06:19 [log.go:108] [D] Loading language: en-US 
2015/04/06 02:06:19 [log.go:108] [D] Loading language: zh-CN 
2015/04/06 02:06:19 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 02:06:19 [app.go:96] [I] http server Running on :8080
2015/04/06 02:13:26 [log.go:108] [D] Loading language: en-US 
2015/04/06 02:13:26 [log.go:108] [D] Loading language: zh-CN 
2015/04/06 02:13:26 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 02:13:26 [app.go:96] [I] http server Running on :8080
2015/04/06 02:13:37 [router.go:845] [D] | GET        | /brandshow                               | 60.0035ms        | match      | /brandshow                               | 
